,id,fecha,hora,cliente,P1,P2,PR,calidad,NI,source
22723,111,2018-03-25,0 days 14:50:52.000000000,158,0.0,0.0,225.0,1,-495.0,E
22724,0,2018-03-25,0 days 14:51:52.000000000,158,0.0,0.0,226.0,1,-495.0,R
22725,111,2018-03-25,0 days 14:52:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22726,111,2018-03-25,0 days 14:53:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22727,111,2018-03-25,0 days 14:54:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22728,111,2018-03-25,0 days 14:55:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22729,0,2018-03-25,0 days 14:56:52.000000000,158,0.0,0.0,226.0,1,-495.0,R
22730,111,2018-03-25,0 days 14:57:52.000000000,158,0.0,0.0,226.0,1,-492.0,E
22731,111,2018-03-25,0 days 14:58:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22732,0,2018-03-25,0 days 14:59:52.000000000,158,0.0,0.0,226.0,1,-495.0,R
22733,111,2018-03-25,0 days 15:00:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22734,111,2018-03-25,0 days 15:01:52.000000000,158,0.0,0.0,226.0,1,-492.0,E
22735,111,2018-03-25,0 days 15:02:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22736,0,2018-03-25,0 days 15:03:52.000000000,158,0.0,0.0,225.0,1,-495.0,R
22737,111,2018-03-25,0 days 15:04:52.000000000,158,0.0,0.0,225.0,1,-495.0,E
22738,111,2018-03-25,0 days 15:05:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22739,0,2018-03-25,0 days 15:06:52.000000000,158,0.0,0.0,226.0,1,-495.0,R
22740,0,2018-03-25,0 days 15:07:52.000000000,158,0.0,0.0,226.0,1,-495.0,R
22741,111,2018-03-25,0 days 15:08:52.000000000,158,0.0,0.0,225.0,1,-495.0,E
22742,111,2018-03-25,0 days 15:09:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22743,111,2018-03-25,0 days 15:10:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22744,0,2018-03-25,0 days 15:11:52.000000000,158,0.0,0.0,226.0,1,-495.0,R
22745,111,2018-03-25,0 days 15:12:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22746,111,2018-03-25,0 days 15:13:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22747,111,2018-03-25,0 days 15:14:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22748,111,2018-03-25,0 days 15:15:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22749,0,2018-03-25,0 days 15:16:52.000000000,158,0.0,0.0,226.0,1,-495.0,R
22750,111,2018-03-25,0 days 15:17:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22751,111,2018-03-25,0 days 15:18:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22752,111,2018-03-25,0 days 15:19:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22753,111,2018-03-25,0 days 15:20:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22754,111,2018-03-25,0 days 15:21:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22755,111,2018-03-25,0 days 15:22:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22756,111,2018-03-25,0 days 15:23:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22757,111,2018-03-25,0 days 15:24:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22758,111,2018-03-25,0 days 15:25:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22759,111,2018-03-25,0 days 15:26:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22760,0,2018-03-25,0 days 15:27:52.000000000,158,0.0,0.0,226.0,1,-495.0,R
22761,111,2018-03-25,0 days 15:28:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
22762,111,2018-03-25,0 days 15:29:52.000000000,158,0.0,0.0,229.0,1,-495.0,E
